#OTU ID	example1	example2	example3	example4	example5	example6
OTU_679	0	1	0	0	0	0
OTU_68	6	0	1	0	0	0
OTU_680	0	1	0	0	0	0
OTU_681	0	1	1	0	0	0
OTU_682	0	1	0	0	0	0
OTU_683	0	2	0	0	0	0
OTU_684	0	1	0	0	0	0
OTU_685	0	1	0	0	0	0
OTU_686	0	1	0	0	0	0
OTU_687	0	1	0	0	0	0
OTU_688	0	1	0	0	0	0
OTU_689	0	1	0	0	0	0
OTU_69	1	0	0	0	0	0
OTU_690	0	1	2	0	0	0
OTU_691	0	1	2	0	0	0
OTU_692	0	1	0	0	0	0
OTU_693	0	1	0	0	0	0
OTU_694	0	1	0	0	0	0
OTU_695	0	1	0	0	0	0
OTU_696	0	1	0	0	0	0
OTU_697	0	1	0	0	0	0
OTU_698	0	1	1	0	0	0
OTU_699	0	1	3	0	0	0
OTU_7	2	0	2	0	0	0
OTU_70	7	2	2	0	0	0
OTU_700	0	2	0	0	0	0
OTU_701	0	1	0	0	0	0
OTU_702	0	2	0	0	0	0
OTU_703	0	1	0	0	0	0
OTU_704	0	1	0	0	0	0
OTU_705	0	1	0	0	0	0
OTU_706	0	1	0	0	0	0
OTU_707	0	1	1	0	0	0
OTU_708	0	1	0	0	0	0
OTU_709	0	1	0	0	0	0
OTU_71	1	0	0	0	0	0
OTU_710	0	1	0	0	0	0
OTU_711	0	1	1	0	0	0
OTU_712	0	1	0	0	0	0
OTU_713	0	1	0	0	0	0
